ID,Avatar,Name,Rank,Rank_recomendado,Qtd_dias,Qtds_role_jobs_lvl_90,Qtd_Jobs
15447996,https://img2.finalfantasyxiv.com/f/a84532c99d90941d55bafdfc2a7fbae1_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009241,Myriad Phantom,Sapling,Senior Tree,132.0,3.0,4.0
24688817,https://img2.finalfantasyxiv.com/f/ace314bc14119f7f147c7dd6854bdf89_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008701,Evelyn Danielle,Senior Tree,Lunar Tree,281.0,3.0,7.0
25323154,https://img2.finalfantasyxiv.com/f/dd0d4bb783ce5dab080f6b305ef4cd85_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008873,Hagen Dazs,Senior Tree,Lunar Tree,180.0,3.0,14.0
28124892,https://img2.finalfantasyxiv.com/f/8ca195fec4ebfee1ffa4a62fe3c816f7_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008137,Katsumy Draco,Sapling,Senior Tree,124.0,3.0,4.0
28817450,https://img2.finalfantasyxiv.com/f/11ae5eef879db0cfb347baca5991ab27_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008179,Avenus Zignos,Sapling,Senior Tree,157.0,2.0,5.0
29253092,https://img2.finalfantasyxiv.com/f/2038fa93d1934a527e2449a591ba9af6_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007516,Alhequis Kuuhaku,Sapling,Senior Tree,104.0,2.0,7.0
30877793,https://img2.finalfantasyxiv.com/f/1a76d48ada5a8800e3c5a9785dba847b_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009244,Kuuro Sumeragi,Sapling,Senior Tree,120.0,1.0,2.0
31372885,https://img2.finalfantasyxiv.com/f/da54b5912ec6cbb95e1f798c94a30902_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007697,Aria Alter,Sapling,Senior Tree,98.0,2.0,4.0
31891458,https://img2.finalfantasyxiv.com/f/a0325dd957575edf613189c2be2638b8_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007704,Brennus Agri,Sapling,Senior Tree,92.0,2.0,4.0
34570959,https://img2.finalfantasyxiv.com/f/6877c8d556fde2d2b321c688f71874b9_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009027,King Ackerman,Sapling,Senior Tree,135.0,2.0,2.0
34975812,https://img2.finalfantasyxiv.com/f/cb91fe4a02019889a4fdc802f82af0be_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007592,Uhra Bhitme,Sapling,Senior Tree,146.0,2.0,3.0
35200361,https://img2.finalfantasyxiv.com/f/7c111ac0736fa3c5fdc33345759a6283_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663006970,Ivyh D'arkhen,Sapling,Lunar Tree,370.0,3.0,4.0
35291812,https://img2.finalfantasyxiv.com/f/6351e91fc18f4ce2397c4bd063d715fe_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663010116,Ayesha Khadja,Senior Tree,Lunar Tree,410.0,3.0,9.0
35325686,https://img2.finalfantasyxiv.com/f/009c6b123321c0d1cc785f3bdb48b0aa_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663010112,Ren Ivalyce,Sapling,Senior Tree,99.0,1.0,1.0
35516078,https://img2.finalfantasyxiv.com/f/035a465812960565a8b1e51fc94ee0e1_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007429,Ragnarbe Mckennitt,Sapling,Senior Tree,126.0,2.0,3.0
36902211,https://img2.finalfantasyxiv.com/f/bacd6ed72938bee07a0ec254f9509dd7_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007980,Ivu Pauleks,Sapling,Senior Tree,100.0,2.0,2.0
36905277,https://img2.finalfantasyxiv.com/f/aa8f2bc5ac1381b418736757726cfef4_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007444,Yufine Rhaegal,Senior Tree,Lunar Tree,443.0,3.0,5.0
37030179,https://img2.finalfantasyxiv.com/f/1b21ffe84622212d9efee5ae3d01d3f1_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663010210,Sasha Lucis,Sapling,Senior Tree,120.0,1.0,2.0
39365731,https://img2.finalfantasyxiv.com/f/911d1b045cdc99d837b7410211b7706a_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008240,Senhora Khan,Senior Tree,Lunar Tree,378.0,3.0,15.0
39959823,https://img2.finalfantasyxiv.com/f/7a24729380ea1f3543505f6e1bb976e8_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007791,Vivian Ev,Sapling,Senior Tree,152.0,1.0,1.0
41562275,https://img2.finalfantasyxiv.com/f/3900a072a33a36ca6d103df8f6473c6c_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009415,Felipe Cavalheiro,Sapling,Senior Tree,104.0,1.0,1.0
41725669,https://img2.finalfantasyxiv.com/f/cc20b5117aba952b2370c2393bfcaecd_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663007767,Rocinha Pk,Sapling,Senior Tree,113.0,3.0,9.0
42332139,https://img2.finalfantasyxiv.com/f/3405f695b9772e3fba3b502738a397f8_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008232,Steven Thomas,Sapling,Senior Tree,90.0,3.0,7.0
42396058,https://img2.finalfantasyxiv.com/f/736cbe206d96456882fb6e19786d9eee_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663010298,Skady Eyes,Sapling,Senior Tree,109.0,2.0,4.0
42652494,https://img2.finalfantasyxiv.com/f/ec4a7de58533322ab7d2d737341e34a0_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663008232,Shion Yumishi,Sapling,Senior Tree,132.0,1.0,1.0
42849940,https://img2.finalfantasyxiv.com/f/db8fed24d2e33e04df3d147cc36a6d04_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009222,Kowarechatte Chan,Sapling,Senior Tree,124.0,2.0,4.0
43105724,https://img2.finalfantasyxiv.com/f/79fe86b671d71a81a92df52f73e0230e_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009873,Necros Serelepe,Sapling,Senior Tree,124.0,1.0,1.0
43180504,https://img2.finalfantasyxiv.com/f/de60afefd93855844ecf76d58c91c2bd_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663006971,Jirezagos Thul,Sapling,Senior Tree,118.0,1.0,1.0
43502052,https://img2.finalfantasyxiv.com/f/ec677f1c9e7d5f987b2709d4c2c29122_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009401,Kaos Xd,Sapling,Senior Tree,96.0,2.0,2.0
43505236,https://img2.finalfantasyxiv.com/f/cae76dd2b2ba8e517ea1bb6e79cd07c5_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663010159,Arrow Asv,Sapling,Senior Tree,95.0,1.0,1.0
43576628,https://img2.finalfantasyxiv.com/f/c4e65e8fa35751901426cebb78da8639_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009952,Tengaia Leonheart,Sapling,Senior Tree,94.0,2.0,2.0
7016977,https://img2.finalfantasyxiv.com/f/bd5cd1db8999134cd35180abfc70dae6_be20385e18333edb329d4574f364a1f0fc0_96x96.jpg?1663009487,Elrohyr Edrahil,Sapling,Senior Tree,129.0,3.0,12.0
